"Age","M","Mat","PF","PM","Sel","WeCa","Fd","WeCad","Fi","WeCai"
1,0.2,0.000896155548038078,0,0,0.00350360584099269,0.06156,0.00823350749234065,0.04324,0,0
2,0.2,0.0221612394013589,0,0,0.0144901891582102,0.146406666666667,0.0204468441751231,0.0969333333333333,0,0
3,0.2,0.364126108572946,0,0,0.0670830435241635,0.17888,0.0429507231425032,0.136796666666667,0,0
4,0.2,0.935354070409281,0,0,0.147299198148448,0.22261,0.0370818018515516,0.18749,0,0
5,0.2,0.997272122935914,0,0,0.189357306610611,0.287596666666667,0.0350990267227224,0.26464,0,0
6,0.2,0.99989175444469,0,0,0.227710771508112,0.360036666666667,0.0344742284918881,0.346413333333333,0,0
7,0.2,0.999995715489656,0,0,0.254328130165495,0.432073333333333,0.0396778698345052,0.41456,0,0
8,0.2,0.999999830430026,0,0,0.255831151037052,0.475173333333333,0.0381748489629475,0.483953333333333,0,0
9,0.2,0.99999999328888,0,0,0.264367163239442,0.51192,0.0296388367605579,0.51606,0,0
10,0.2,0.999999999734392,0,0,0.265791651524625,0.56362,0.0282143484753749,0.56189,0,0
